BBG000BH4R78|WaltDisney
BBG0026ZDHR0|AnaptysBioInc
BBG000C2PW58|BlackRock
BBG000RVD346|AmericanPublicEducationInc
BBG008HNHZ07|NationalWesternLifeGroupIn
BBG000B9XRY4|Apple
BBG000BSXQV7|Sherwin-Williams
BBG000BSBZH7|RossStores
BBG000BCVJ77|BaxterInternational
BBG000NV1KK7|DollarGeneral
BBG000BR14K5|Chubb
BBG000BJ5HK0|AcuityBrands
BBG000BDGHD9|BadgerMeterInc
BBG001YV1SM4|OktaInc
BBG000BBNYF6|DardenRestaurants
BBG000C0LW92|BostonScientificCorporation
BBG000GZYVY1|JackintheBox
BBG000BWVCP8|TheWilliamsCompanies
BBG001RWPDW6|UltragenyxPharmaceuticalInc
BBG000BKDWB5|AsburyAutomotiveGroupInc
BBG00GX77LW3|BlackKnightInc
BBG000BWGYF8|VulcanMaterials
BBG000J79P80|SensientTechnologiesCorp
BBG006Q0HY77|CitizensFinancialGroup
BBG000BQY289|Patterson
BBG000Q0SZJ2|LogMeInInc
BBG000BLBVN4|Booking
BBG000BL8804|HostHotels&Resorts
BBG000QY3XZ2|Expedia
BBG001HRFJG4|ZendeskInc
BBG000C2VBB0|PTCInc
BBG000PKZDX4|KaiserAluminumCorp
BBG000N746D6|ETRADEFinancialCorporation
BBG000BJSBJ0|NextEraEnergy
BBG000BGD7W6|MarriottInternational
BBG000BN5LG7|ValeSA
BBG000CL1FG7|BrukerCorp
BBG000P5LMQ0|SaiaInc
BBG000BQQ2S6|OccidentalPetroleum
BBG000BSLZY7|TheCharlesSchwabCorporation
BBG0016XJ8S0|TALEducationGroup
BBG000BNWG87|Medtronic
BBG00B6KGNN1|HostessBrandsInc
BBG009XW2WB8|PerformanceFoodGroupCo
BBG008GC8CP6|AppfolioInc
BBG000BCZYD3|Becton,DickinsonandCompany
BBG000CL9VN6|Netflix
BBG000BYYLS8|TruistFinancialCorporation
BBG000BS73J1|RaymondJamesFinancial
BBG000BFWF13|PapaJohn’sInternationalInc
BBG000F4F1N0|MeritageHomesCorp
BBG000L69KL5|TucowsInc
BBG000PCNQN7|ChinaTelecom
BBG00BLVZ228|Fortive
BBG006G063F9|IHSMarkit
BBG000C42VX0|MerItMedicalSystemsInc
BBG000C4GBR6|NETGEARInc
BBG000DN4ZT1|TexasCapitalBancsharesInc
BBG000BDJL83|FactSetResearchSystemsInc
BBG000BB8SW7|PackagingCorpofAmerica
BBG005CHLM96|EvolentHealthInc
BBG007TJF1N7|Qorvo
BBG000C0G1D1|IntelCorporation
BBG000BB5B84|LennoxInternationalInc
BBG009LM28K6|IngevityCorp
BBG000BQBYR3|NVRInc
BBG000BF8CB6|NationalBeverageCorp
BBG000CM6L31|America’sCar-MartIncTX
BBG000G7W420|LHCGroupInc
BBG000VDC3G9|ZogenixInc
